Country;Q2-2020;Q3-2020;Q4-2020;Q1-2021;Q2-2021;Q3-2021;Q4-2021;Q1-2022;Q2-2022;Q3-2022;Q4-2022;
Australia;1150468;1195067;1233526;1259377;1268965;1244150;1289671;1297035;1308734;1317698;1324021;
Austria;402983;448737;440935;435353;453327;472570;468997;472810;482616;483068;482897;
Belgium;484632;541607;538967;546647;556312;569367;572642;576172;579247;581067;581387;
Canada;1525465;1663030;1698461;1720692;1710564;1735040;1764042;1774490;1790137;1800450;1800630;
Chile;379642;398208;424821;443758;447737;467163;477524;475511;472241;466961;467233;
Colombia;567416;622806;669615;692575;673516;705589;743289;748336;754706;756635;759562;
Costa Rica;89914;90880;93685;97122;99239;102248;102606;103231;104039;104852;106420;
Czech Republic;364911;390284;394735;392781;398240;405001;408443;411078;412179;411063;409617;
Denmark;287233;303508;304422;306517;313164;315181;324254;323034;327171;327579;329417;
Estonia;42691;44686;45896;47208;48462;48750;48952;48755;48193;47568;46789;
Finland;236664;248386;250386;249787;253449;256066;258697;258490;261010;260416;259411;
France;2381877;2820818;2795127;2798600;2826121;2919522;2937346;2930343;2946102;2948797;2949523;
Germany;3731664;4067689;4092969;4032882;4110662;4142940;4141774;4184165;4179110;4198944;4176388;
Greece;255661;269187;280126;289326;293076;302569;304159;310950;314402;315796;320110;
Hungary;267767;299561;304378;307884;315016;319674;327501;332496;334441;331639;329806;
Iceland;17154;17692;18201;17766;18374;18859;19522;19234;19854;19901;20335;
Ireland;412089;465167;443026;483464;492713;511292;504835;541125;553468;569212;570946;
Israel;324576;353327;361673;360400;374658;382312;399628;396470;402684;404481;409745;
Italy;1929316;2203252;2188070;2198352;2252510;2317592;2338652;2341775;2366494;2375143;2372170;
Japan;4842190;5116523;5212750;5203708;5220368;5203707;5263622;5237966;5298189;5284993;5284309;
Korea;2097748;2146999;2173058;2210523;2228944;2233697;2263579;2277929;2294769;2302177;2292836;
Latvia;51793;54776;55796;55420;56637;57217;57112;58187;58071;57374;58062;
Lithuania;93283;98944;99219;100969;102479;104036;105353;105541;104782;105466;104949;
Luxembourg;63536;68867;68773;70115;70280;70240;71654;72031;71796;72841;70071;
Mexico;1935297;2188509;2283009;2292527;2308904;2282743;2309171;2336198;2361487;2382874;2393723;
Netherlands;853289;906948;905897;908952;941309;956858;960447;965609;990593;988751;992874;
New Zealand;178511;204064;204245;207244;212370;202724;209085;207794;211724;215832;214211;
Norway;315622;328900;333084;332340;336378;346954;348629;347318;350623;354851;354773;
Poland;1127660;1203722;1205065;1236154;1263574;1290482;1312834;1368569;1335723;1349080;1318052;
Portugal;280886;321862;323054;314784;328717;337931;344444;352219;352903;354080;355319;
Slovak Republic;164686;180650;182036;181777;184896;186046;186914;187381;187689;188217;188689;
Slovenia;66810;75479;74526;75809;77315;79546;82239;83092;83674;82586;83164;
Spain;1399652;1632525;1631562;1627831;1649843;1701123;1739659;1733298;1777225;1783622;1790590;
Sweden;483667;519151;520040;527396;532038;541755;553490;551615;553101;555368;553061;
Switzerland;537381;576452;578442;577637;589117;599200;600339;602355;604107;605085;605245;
Türkiye;2137864;2472426;2499243;2564640;2615803;2686809;2729143;2749146;2799881;2797627;2823853;
United Kingdom;2314868;2699336;2732102;2703335;2879821;2929743;2974422;2988913;2990446;2987637;2991491;
United States;18193896;19622933;19811944;20117601;20461011;20595378;20944612;20858669;20828500;20995369;21129193;
European Union – 27 countries (from 01/05/2020);16036209;17878441;17864405;17905076;18248779;18645673;18784582;18918665;19059223;19132530;19107361;
Euro area (20 countries);12975151;14575484;14542278;14543366;14827407;15165215;15250989;15342612;15481112;15539330;15531705;
G7;34880349;38192496;38519169;38754518;39451222;39850055;40364085;40322013;40401720;40596245;40707067;
NAFTA;21656224;23475232;23793545;24131033;24481017;24614530;25019452;24970682;24980707;25179033;25323721;
OECD - Europe;20673896;23223112;23264228;23327032;23902392;24427461;24658728;24844736;25008393;25076609;25058425;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
